name,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Grand Total,U-5,E-2C,CW-1,CW-2,Year,latitude,longitude
Algeria,62,23,5,1661,507,3430,0,0,57,8,0,0,12,0,0,0,0,0,0,114,6,0,39,54,0,126,2,0,52,0,0,0,0,0,4,32,8,84,24,14,0,0,0,9,29,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6878,,,,,1997,28.033886,1.659626
Angola,54,169,3,10,1421,271,1,0,10,12,0,19,14,0,0,0,0,0,0,222,17,0,41,57,1,19,0,0,0,0,0,0,0,0,0,0,4,10,4,1,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,,,,,1997,-11.202692,17.873887
Benin,10,43,4,104,375,249,0,0,37,1,0,2,29,0,0,0,0,0,0,45,2,0,23,37,0,42,14,0,10,0,0,0,0,0,0,8,0,59,3,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,,,,,1997,9.30769,2.315834
Botswana,10,79,1,2,366,54,0,0,3,0,0,0,1,0,0,0,0,0,0,193,11,0,9,28,0,4,1,0,2,0,0,0,0,0,0,1,2,73,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,,,,,1997,-22.328474,24.684866
Burkina Faso,19,7,1,12,487,309,1,0,24,0,0,9,62,0,0,0,0,0,0,40,3,0,7,92,0,60,2,0,3,0,0,0,0,0,0,0,0,30,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,,,,,1997,12.238333,-1.561593
Burundi,5,2,0,57,97,60,3,0,49,0,0,0,0,0,0,0,0,0,0,34,2,0,19,4,17,27,1,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,,,,,1997,-3.373056,29.918886
Cameroon,44,52,11,242,768,1128,0,0,53,0,0,1,3,0,1,2,0,0,0,202,5,0,28,130,0,105,5,0,36,0,0,0,0,0,0,11,3,75,12,11,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,,,,,1997,7.369722,12.354722
Cape Verde,3,23,2,17,3273,763,0,0,16,54,0,1,5,0,0,0,0,0,0,21,0,0,9,14,0,6,3,0,0,0,0,0,0,0,0,1,3,8,0,26,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4262,,,,,1997,16.002082,-24.013197
Central African Republic,7,5,0,7,69,33,0,0,5,0,0,1,23,0,0,0,0,0,0,12,3,0,6,10,0,15,1,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,,,,1997,6.611111,20.939444
Chad,24,53,0,17,110,89,0,0,6,0,0,1,59,0,0,0,0,0,0,26,0,0,3,46,0,17,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,,,,,1997,15.454166,18.732207
Comoros,0,4,0,2,5,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,17,0,3,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,,,,1997,-11.875001,43.872219
"Congo, Rep. of the (Congo Brazzaville)",16,24,2,39,1988,332,0,0,121,0,0,4,0,0,0,0,0,0,0,168,6,0,6,55,0,84,0,0,8,0,0,0,0,0,0,10,0,29,4,5,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,66,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,,,,,1997,-0.228021,15.827659
"Congo, Dem. Rep. of the (Congo Kinshasa)",36,20,0,15,264,123,0,0,7,0,0,1,51,0,0,0,0,0,0,32,0,0,14,11,0,11,0,0,3,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,,,,,1997,-4.038333,21.758664
Cote d'Ivoire,49,86,16,104,2481,1127,4,0,79,1,0,21,63,0,0,0,0,0,0,197,3,0,33,90,1,129,20,0,17,0,0,0,0,0,0,12,11,80,5,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4756,,,,,1997,7.539989,-5.54708
Djibouti,16,25,1,8,23,265,0,0,2,0,0,18,0,0,0,0,0,0,0,5,0,0,5,7,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,,,,,1997,11.825138,42.590275
Egypt,189,2012,33,487,30988,819,334,0,273,843,0,54,107,0,2,0,0,0,0,771,116,0,45,83,0,142,2,0,303,0,0,0,0,0,5,263,56,1302,572,31,0,0,0,45,89,34,0,0,0,0,0,0,0,0,0,2,0,5,0,2,122,0,6,3,0,0,0,49,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40696,,,,,1997,26.820553,30.802498
Equatorial Guinea,13,6,0,63,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,,,,,1997,1.650801,10.267895
Eritrea,10,50,8,176,401,574,0,0,13,0,0,0,0,0,0,0,0,0,0,27,0,0,2,6,0,3,1,0,1,0,0,0,0,0,0,0,0,27,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1343,,,,,1997,15.179384,39.782334
Ethiopia,15,42,13,429,2304,1179,2,0,38,1,0,2,11,0,0,1,0,0,0,263,21,0,8,32,0,228,22,0,34,0,0,0,1,0,0,5,0,139,10,21,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5297,,,,,1997,9.145,40.489673
Gabon,33,89,2,4,628,148,0,0,3,5,0,0,12,0,0,0,0,0,0,92,1,0,9,99,0,9,8,0,4,0,0,0,0,0,0,1,0,4,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,,,,,1997,-0.803689,11.609444
"Gambia, The",25,45,2,15,1127,101,0,0,27,0,0,3,0,0,0,0,0,0,0,166,8,0,9,3,0,34,3,0,3,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,,,,,1997,13.443182,-15.310139
Ghana,20,194,6,1300,4994,3077,0,0,99,308,0,24,1,0,1,0,0,0,0,569,20,0,36,163,0,101,14,0,72,0,0,0,0,0,1,30,13,286,69,66,10,0,0,4,12,6,0,0,0,0,0,0,0,0,0,0,0,1,1,6,45,0,14,2,0,0,0,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11593,,,,,1997,7.946527,-1.023194
Guinea,50,134,3,48,2730,315,0,0,28,3,0,0,14,0,0,0,0,0,0,209,2,0,40,101,0,38,3,0,5,0,0,0,0,0,0,6,0,55,1,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3834,,,,,1997,9.945587,-9.696645
Guinea-Bissau,17,24,2,10,84,37,0,0,6,0,0,0,1,0,0,0,0,0,0,5,0,0,10,25,0,3,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,,,,,1997,11.803749,-15.180413
Kenya,66,117,30,193,3899,1447,0,0,26,3,0,0,4,0,0,1,0,0,0,2616,151,0,41,87,0,174,17,0,118,0,0,0,1,0,0,107,0,270,61,17,3,0,0,9,15,84,2,0,0,0,0,0,0,0,0,0,0,2,0,0,34,0,3,0,8,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9628,,,,,1997,-0.023559,37.906193
Lesotho,1,11,0,1,105,21,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,5,30,0,4,0,0,0,0,0,0,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,,,,1997,-29.609988,28.233608
Liberia,0,0,1,161,645,907,0,0,5,2,0,0,0,0,0,0,0,0,0,161,20,0,1,29,1,34,1,0,5,0,0,0,0,0,0,9,1,18,8,12,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056,,,,,1997,6.428055,-9.429499
Libya,1,1,0,27,73,159,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,61,38,0,8,0,0,6,0,0,0,0,0,0,5,0,3,1,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,,,,,1997,26.3351,17.228331
Madagascar,35,28,5,59,183,214,0,0,12,24,0,0,0,0,1,0,0,0,0,30,0,0,13,47,0,27,3,0,3,0,0,0,0,0,0,4,0,62,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,,,,,1997,-18.766947,46.869107
Malawi,23,44,0,4,422,57,0,0,4,0,0,0,0,0,0,0,0,0,0,126,16,0,8,67,0,18,2,0,2,0,0,0,0,0,0,4,0,69,19,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,,,,,1997,-13.254308,34.301525
Mali,17,56,1,471,1191,674,0,0,76,0,0,5,16,0,0,0,0,0,0,83,5,0,22,47,1,111,1,0,12,0,0,0,2,0,0,1,6,62,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2999,,,,,1997,17.570692,-3.996166
Mauritania,20,16,1,83,152,228,0,0,6,4,0,1,10,0,0,0,0,0,0,50,1,0,14,49,0,34,3,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,687,,,,,1997,21.00789,-10.940835
Mauritius,11,22,0,16,926,522,0,0,5,105,0,0,0,0,0,0,0,0,0,58,4,0,7,16,0,30,2,0,14,0,0,0,0,0,0,3,0,27,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,,,,,1997,-20.348404,57.552152
Morocco,46,552,71,356,11593,1629,11,0,38,144,0,12,201,0,0,4,0,0,0,620,9,0,18,104,0,43,30,0,75,0,0,0,4,0,3,24,20,299,51,40,0,0,0,11,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,8,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16443,,,,,1997,31.791702,-7.09262
Mozambique,28,64,11,14,371,27,0,0,23,3,0,9,0,0,0,0,0,0,0,38,1,0,14,26,0,30,5,0,0,0,0,0,0,0,0,0,0,65,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,,,,,1997,-18.665695,35.529562
Namibia,29,105,5,26,304,39,0,0,2,0,0,2,0,0,0,0,0,0,0,21,6,0,3,6,0,9,1,0,3,0,0,0,0,0,0,0,0,117,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,,,,,1997,-22.95764,18.49041
Niger,35,34,1,176,91,159,0,0,21,1,0,0,19,0,0,0,0,0,0,43,3,0,17,45,0,21,0,1,4,0,0,0,0,0,0,0,0,26,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,,,,,1997,17.607789,8.081666
Nigeria,72,68,5,258,21114,848,0,0,82,5,1,8,28,0,0,0,0,0,0,743,31,0,59,77,0,120,6,3,217,0,0,0,0,0,1,195,20,241,41,298,14,0,0,46,62,26,1,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,256,0,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25077,,,,,1997,9.081999,8.675277
Rwanda,3,19,4,4,396,42,0,0,13,0,0,22,0,0,0,0,0,0,0,67,18,0,3,36,0,17,1,0,1,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,,,,,1997,-1.940278,29.873888
Sao Tome and Principe,2,5,0,0,19,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,,,,,1997,0.18636,6.613081
Senegal,77,115,9,207,4218,1278,0,0,118,0,0,11,46,0,0,0,0,0,0,379,6,0,42,75,0,166,11,0,27,0,0,0,0,0,0,4,3,191,16,6,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,19,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7134,,,,,1997,14.497401,-14.452362
